+---------------------------------------------------+
| Time of Transition | PID | Old State |  New State |
|               1610 |   4 |     READY |    RUNNING |
|               1620 |   4 |   RUNNING |    WAITING |
|               1620 |   5 |     READY |    RUNNING |
|               1640 |   4 |   WAITING |      READY |
|               1660 |   5 |   RUNNING |    WAITING |
|               1660 |   4 |     READY |    RUNNING |
|               1670 |   4 |   RUNNING |    WAITING |
|               1690 |   4 |   WAITING |      READY |
|               1690 |   5 |   WAITING |      READY |
|               1690 |   4 |     READY |    RUNNING |
|               1700 |   4 |   RUNNING |    WAITING |
|               1700 |   5 |     READY |    RUNNING |
|               1720 |   4 |   WAITING |      READY |
|               1740 |   5 |   RUNNING |    WAITING |
|               1740 |   4 |     READY |    RUNNING |
|               1750 |   4 |   RUNNING |    WAITING |
|               1770 |   4 |   WAITING |      READY |
|               1770 |   5 |   WAITING |      READY |
|               1770 |   4 |     READY |    RUNNING |
|               1780 |   4 |   RUNNING |    WAITING |
|               1780 |   5 |     READY |    RUNNING |
|               1800 |   4 |   WAITING |      READY |
|               1820 |   5 |   RUNNING |    WAITING |
|               1820 |   4 |     READY |    RUNNING |
|               1830 |   4 |   RUNNING |    WAITING |
|               1850 |   4 |   WAITING |      READY |
|               1850 |   5 |   WAITING |      READY |
|               1850 |   4 |     READY |    RUNNING |
|               1860 |   4 |   RUNNING |    WAITING |
|               1860 |   5 |     READY |    RUNNING |
|               1880 |   4 |   WAITING |      READY |
|               1900 |   5 |   RUNNING |    WAITING |
|               1900 |   4 |     READY |    RUNNING |
|               1910 |   4 |   RUNNING |    WAITING |
|               1930 |   4 |   WAITING |      READY |
|               1930 |   5 |   WAITING |      READY |
|               1930 |   4 |     READY |    RUNNING |
|               1940 |   4 |   RUNNING |    WAITING |
|               1940 |   5 |     READY |    RUNNING |
|               1960 |   4 |   WAITING |      READY |
|               1980 |   5 |   RUNNING |    WAITING |
|               1980 |   4 |     READY |    RUNNING |
|               1990 |   4 |   RUNNING | TERMINATED |
|               2010 |   5 |   WAITING |      READY |
|               2010 |   5 |     READY |    RUNNING |
|               2050 |   5 |   RUNNING | TERMINATED |
+---------------------------------------------------+
